[('city', '=', 'Amsterdam')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'Budapest')]
[('city', '=', 'Budapest')]
[('city', '=', 'London')]
[('city', '=', 'Rome')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'Berlin')]
[('city', '=', 'Berlin')]
[('city', '=', 'London')]
[('city', '=', 'Madrid')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'Rome')]
[('city', '=', 'Rome')]
[('city', '=', 'Madrid')]
[('city', '=', 'London')]
[('city', '=', 'Budapest')]
[('city', '=', 'Bucharest')]
[('city', '=', 'Berlin')]
[('city', '=', 'Berlin')]
[('city', '=', 'Rome')]
[('city', '=', 'London')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'London')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'Berlin')]
[('city', '=', 'Budapest')]
[('city', '=', 'Rome')]
[('city', '=', 'Madrid')]
[('city', '=', 'Madrid')]
[('city', '=', 'Rome')]
[('city', '=', 'Budapest')]
[('city', '=', 'Budapest')]
[('city', '=', 'Madrid')]
[('city', '=', 'Budapest')]
[('city', '=', 'Budapest')]
[('city', '=', 'Budapest')]
[('city', '=', 'Berlin')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'London')]
[('city', '=', 'London')]
[('city', '=', 'Madrid')]
[('city', '=', 'London')]
[('city', '=', 'Budapest')]
[('city', '=', 'Rome')]
[('city', '=', 'Bucharest')]
[('city', '=', 'Budapest')]
[('city', '=', 'Budapest')]
[('city', '=', 'Rome')]
[('city', '=', 'Rome')]
[('city', '=', 'Rome')]
[('city', '=', 'Rome')]
[('city', '=', 'Berlin')]
[('city', '=', 'Rome')]
[('city', '=', 'Bucharest')]
[('city', '=', 'London')]
[('city', '=', 'Rome')]
[('city', '=', 'Berlin')]
[('city', '=', 'Madrid')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'Madrid')]
[('city', '=', 'Berlin')]
[('city', '=', 'Budapest')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'Berlin')]
[('city', '=', 'Rome')]
[('city', '=', 'Berlin')]
[('city', '=', 'Budapest')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'Budapest')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'Madrid')]
[('city', '=', 'Berlin')]
[('city', '=', 'Bucharest')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'Bucharest')]
[('city', '=', 'Madrid')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'Bucharest')]
[('city', '=', 'Madrid')]
[('city', '=', 'Bucharest')]
[('city', '=', 'Rome')]
[('city', '=', 'Berlin')]
[('city', '=', 'Bucharest')]
[('city', '=', 'Bucharest')]
[('city', '=', 'Berlin')]
[('city', '=', 'Budapest')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'Rome')]
[('city', '=', 'Bucharest')]
[('city', '=', 'Madrid')]
[('city', '=', 'Rome')]
[('city', '=', 'Budapest')]
[('city', '=', 'London')]
[('city', '=', 'Rome')]
[('city', '=', 'Madrid')]
[('city', '=', 'Rome')]
[('city', '=', 'Budapest')]
[('city', '=', 'Budapest')]
[('city', '=', 'Berlin')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'Madrid')]
[('city', '=', 'Berlin')]
[('city', '=', 'Rome')]
[('city', '=', 'Madrid')]
[('city', '=', 'Rome')]
[('city', '=', 'Budapest')]
[('city', '=', 'Madrid')]
[('city', '=', 'Bucharest')]
[('city', '=', 'Amsterdam')]
[('city', '=', 'Berlin')]
[('city', '=', 'Budapest')]
[('city', '=', 'Bucharest')]
[('city', '=', 'Bucharest')]
[('city', '=', 'Rome')]
[('city', '=', 'Berlin')]
